trade_date,symbol,side,strategy,entry_price,exit_price,stop_loss,take_profit,quantity,pnl,rr_ratio,max_drawdown,time_in_trade_min
2025-01-03,RGTI250103C00018000,Buy,Day,1.15,0.95,1.09,1.26,1,-0.2,-3.48,0.02,1.1
2024-05-13,SPY240513P00519000,Buy,Day,0.18,0.06,0.17,0.2,1,-0.12,-13.33,0.0,206.0
2024-05-20,SPY240520C00533000,Buy,Day,0.12,0.1,0.11,0.13,1,-0.02,-3.33,0.0,1.8
2024-05-23,SPY240523P00528000,Buy,Day,0.65,0.44,0.62,0.72,1,-0.21,-6.46,0.01,2.2
2024-05-23,SPY240523P00530000,Buy,Day,0.83,1.33,0.79,0.91,1,0.5,12.05,0.02,4.0
2024-05-24,SPY240524C00529000,Buy,Day,0.6,0.4,0.57,0.66,2,-0.4,-6.67,0.01,19.0
2024-05-24,SPY240524C00531000,Buy,Day,0.29,0.19,0.28,0.32,1,-0.1,-6.9,0.01,8.4
2024-05-24,SPY240524P00527000,Buy,Day,0.23,0.12,0.22,0.25,10,-1.1,-9.57,0.0,34.7
2024-05-24,SPY240524P00529000,Buy,Day,0.76,0.39,0.72,0.84,4,-1.48,-9.74,0.02,19.8
2024-05-30,SPY240531P00523000,Buy,Day,0.91,1.11,0.86,1.0,1,0.2,4.4,0.02,24.9
2024-06-17,SPY240617C00546000,Buy,Day,1.71,2.01,1.62,1.88,5,1.5,3.51,0.03,2.6
2024-06-17,SPY240617C00547000,Buy,Day,0.45,0.69,0.43,0.5,1,0.24,10.67,0.01,4.2
2024-06-18,SPY240618C00547000,Buy,Day,1.09,0.94,1.04,1.2,1,-0.15,-2.75,0.02,2.4
2024-06-18,SPY240618C00548000,Buy,Day,1.02,0.79,0.97,1.12,1,-0.23,-4.51,0.02,19.8
2024-06-18,SPY240618P00547000,Buy,Day,0.5,0.21,0.48,0.55,10,-2.9,-11.6,0.01,84.6
2024-06-20,SPY240620C00546000,Buy,Day,1.42,1.23,1.35,1.56,5,-0.95,-2.68,0.03,1.3
2024-06-24,SPY240624P00542000,Buy,Day,0.4,0.31,0.38,0.44,1,-0.09,-4.5,0.01,1.1
2024-06-25,SPY240625C00543000,Buy,Day,0.72,1.09,0.68,0.79,1,0.37,10.28,0.01,34.6
2024-06-26,SPY240626C00543000,Buy,Day,2.05,1.66,1.95,2.26,1,-0.39,-3.8,0.04,5.8
2024-06-26,SPY240626C00544000,Buy,Day,1.39,1.1,1.32,1.53,1,-0.29,-4.17,0.03,3.5
2024-06-26,SPY240626C00545000,Buy,Day,0.85,0.67,0.81,0.94,1,-0.18,-4.24,0.02,10.9
2024-06-26,SPY240626P00544000,Buy,Day,0.52,0.47,0.49,0.57,2,-0.1,-1.92,0.01,7.7
2024-06-27,SPY240627C00545000,Buy,Day,0.95,1.13,0.9,1.04,1,0.18,3.79,0.02,15.9
2024-06-27,SPY240627C00546000,Buy,Day,0.58,0.65,0.55,0.64,1,0.07,2.41,0.01,10.7
2024-06-28,SPY240628C00546000,Buy,Day,1.09,0.95,1.04,1.2,1,-0.14,-2.57,0.02,0.9
2024-06-28,SPY240628C00547000,Buy,Day,0.64,0.49,0.61,0.7,1,-0.15,-4.69,0.01,48.3
2024-06-28,SPY240628P00547000,Buy,Day,0.96,1.0,0.91,1.06,1,0.04,0.83,0.02,1.2
2024-07-01,SPY240701P00545000,Buy,Day,0.73,0.89,0.69,0.8,1,0.16,4.38,0.01,16.8
2024-07-02,SPY240702C00548000,Buy,Day,0.27,0.27,0.26,0.3,1,0.0,0.0,0.01,11.2
2024-07-09,SPY240709C00556000,Buy,Day,0.75,0.97,0.71,0.82,1,0.22,5.87,0.02,24.6
2024-07-09,SPY240709P00556000,Buy,Day,0.82,0.65,0.78,0.9,1,-0.17,-4.15,0.02,5.8
2024-07-10,SPY240710C00557000,Buy,Day,0.85,1.01,0.81,0.94,1,0.16,3.76,0.02,7.0
2024-07-10,SPY240710C00558000,Buy,Day,1.54,1.85,1.46,1.69,1,0.31,4.03,0.03,7.3
2024-07-10,SPY240710C00559000,Buy,Day,0.92,0.9,0.87,1.01,1,-0.02,-0.43,0.02,6.8
2024-07-11,SPY240711C00559000,Buy,Day,1.75,1.53,1.66,1.93,1,-0.22,-2.51,0.04,8.7
2024-07-11,SPY240711P00558000,Buy,Day,1.17,1.32,1.11,1.29,1,0.15,2.56,0.02,0.7
2024-07-11,SPY240711P00560000,Buy,Day,1.56,1.84,1.48,1.72,1,0.28,3.59,0.03,15.1
2024-07-11,SPY240711P00561000,Buy,Day,2.04,2.13,1.94,2.24,1,0.09,0.88,0.04,2.6
2024-07-12,SPY240712C00559000,Buy,Day,1.11,1.28,1.05,1.22,1,0.17,3.06,0.02,6.8
2024-07-12,SPY240712C00560000,Buy,Day,1.26,1.43,1.2,1.39,1,0.17,2.7,0.03,5.8
2024-07-12,SPY240712P00562000,Buy,Day,1.69,1.43,1.61,1.86,1,-0.26,-3.08,0.03,0.8
2024-07-18,SPY240718C00559000,Buy,Day,1.36,1.24,1.29,1.5,2,-0.24,-1.76,0.03,1.2
2024-07-18,SPY240718P00558000,Buy,Day,1.21,0.75,1.15,1.33,1,-0.46,-7.6,0.02,8.9
2024-07-23,SPY240723C00558000,Buy,Day,0.56,0.49,0.53,0.62,1,-0.07,-2.5,0.01,5.1
2024-07-24,SPY240724C00544000,Buy,Day,0.92,0.78,0.87,1.01,1,-0.14,-3.04,0.02,5.3
2024-07-25,SPY240725P00538000,Buy,Day,2.06,1.58,1.96,2.27,1,-0.48,-4.66,0.04,1.7
2024-07-25,SPY240725P00539000,Buy,Day,2.16,2.4,2.05,2.38,1,0.24,2.22,0.04,3.4
2024-07-30,SPY240730C00541000,Buy,Day,2.19,2.23,2.08,2.41,1,0.04,0.37,0.04,19.1
2024-07-30,SPY240730P00546000,Buy,Day,1.58,1.91,1.5,1.74,1,0.33,4.18,0.03,11.5
2024-07-31,SPY240731C00551000,Buy,Day,1.68,1.76,1.6,1.85,1,0.08,0.95,0.03,39.4
2024-08-01,SPY240801C00553000,Buy,Day,2.65,2.81,2.52,2.92,1,0.16,1.21,0.05,1.0
2024-08-01,SPY240801P00553000,Buy,Day,1.93,2.29,1.83,2.12,1,0.36,3.73,0.04,1.4
2024-08-02,SPY240802P00523000,Buy,Day,0.77,0.66,0.73,0.85,1,-0.11,-2.86,0.02,0.6
2024-08-02,SPY240802P00533000,Buy,Day,2.54,3.41,2.41,2.79,1,0.87,6.85,0.05,4.7
2024-08-05,SPY240805P00513000,Buy,Day,2.57,2.27,2.44,2.83,1,-0.3,-2.33,0.05,3.4
2024-08-05,SPY240805P00516000,Buy,Day,3.3,3.24,3.14,3.63,1,-0.06,-0.36,0.07,2.0
2024-08-06,SPY240806P00521000,Buy,Day,1.96,1.39,1.86,2.16,1,-0.57,-5.82,0.04,6.0
2024-08-07,SPY240807C00529000,Buy,Day,2.75,3.56,2.61,3.03,1,0.81,5.89,0.06,18.1
2024-08-08,SPY240808C00524000,Buy,Day,3.43,3.43,3.26,3.77,1,0.0,0.0,0.07,6.5
2024-08-09,SPY240809P00530000,Buy,Day,2.29,1.89,2.18,2.52,3,-1.2,-3.49,0.05,14.3
2024-08-13,SPY240813C00537000,Buy,Day,1.87,1.98,1.78,2.06,1,0.11,1.18,0.04,1.1
2024-08-13,SPY240813C00540000,Buy,Day,1.12,1.69,1.06,1.23,1,0.57,10.18,0.02,11.2
2024-08-13,SPY240813P00537000,Buy,Day,1.63,1.36,1.55,1.79,1,-0.27,-3.31,0.03,6.2
2024-09-03,SPY240903P00556000,Buy,Day,1.49,1.69,1.42,1.64,1,0.2,2.68,0.03,6.9
2024-09-03,SPY240903P00557000,Buy,Day,1.46,1.61,1.39,1.61,2,0.3,2.05,0.03,1.8
2024-09-04,SPY240904P00552000,Buy,Day,2.5,2.71,2.38,2.75,1,0.21,1.68,0.05,0.6
2024-09-16,SPY240916P00562000,Buy,Day,1.16,1.54,1.1,1.28,1,0.38,6.55,0.02,5.3
2024-09-18,SPY240918P00560000,Buy,Day,1.99,1.82,1.89,2.19,1,-0.17,-1.71,0.04,8.4
2024-09-18,SPY240918P00562000,Buy,Day,2.85,2.7,2.71,3.14,2,-0.3,-1.05,0.06,2.1
2024-09-24,SPY240924C00568000,Buy,Day,1.7,1.06,1.62,1.87,2,-1.28,-7.53,0.03,12.1
2024-09-24,SPY240924P00568000,Buy,Day,0.95,0.9,0.9,1.04,1,-0.05,-1.05,0.02,0.2
2024-09-24,SPY240924P00569000,Buy,Day,0.97,1.18,0.92,1.07,2,0.42,4.33,0.02,0.4
2024-12-06,SPY241209P00608000,Buy,Day,1.23,1.76,1.17,1.35,1,0.53,8.62,0.02,4017.6
2024-12-11,SPY241211C00603000,Buy,Day,3.52,3.99,3.34,3.87,1,0.47,2.67,0.07,20.2
2024-12-13,SPY241213C00603000,Buy,Day,1.3,1.66,1.23,1.43,1,0.36,5.54,0.03,18.6
2024-12-13,SPY241213P00607000,Buy,Day,0.94,1.2,0.89,1.03,1,0.26,5.53,0.02,5.1
2024-12-16,SPY241216C00606000,Buy,Day,1.15,0.92,1.09,1.26,2,-0.46,-4.0,0.02,13.2
2024-12-19,SPY241220C00588000,Buy,Day,3.34,6.45,3.17,3.67,1,3.11,18.62,0.07,1522.0
2024-12-18,SPY241220C00593000,Buy,Day,2.15,0.96,2.04,2.37,1,-1.19,-11.07,0.04,1124.5
2024-12-26,SPY241226C00600000,Buy,Day,1.65,1.94,1.57,1.82,1,0.29,3.52,0.03,31.9
2024-12-26,SPY241226P00601000,Buy,Day,0.61,0.98,0.58,0.67,1,0.37,12.13,0.01,2.1
2024-12-27,SPY241227P00595000,Buy,Day,0.79,2.63,0.75,0.87,1,1.84,46.58,0.02,43.8
2024-12-30,SPY241230C00588000,Buy,Day,1.61,1.73,1.53,1.77,2,0.24,1.49,0.03,1.1
2024-12-30,SPY241230C00590000,Buy,Day,1.18,1.54,1.12,1.3,2,0.72,6.1,0.02,34.0
2024-12-30,SPY241230P00583000,Buy,Day,0.95,1.04,0.9,1.04,2,0.18,1.89,0.02,27.9
2024-12-30,SPY241230P00590000,Buy,Day,0.96,0.56,0.91,1.06,1,-0.4,-8.33,0.02,12.1
2024-12-31,SPY241231P00584000,Buy,Day,0.55,0.42,0.52,0.61,2,-0.26,-4.73,0.01,4.8
2024-12-31,SPY241231P00588000,Buy,Day,1.7,1.35,1.62,1.87,1,-0.35,-4.12,0.03,15.1
2025-01-02,SPY250102C00593000,Buy,Day,0.59,0.42,0.56,0.65,1,-0.17,-5.76,0.01,2.7
2025-01-02,SPY250102P00584000,Buy,Day,0.33,0.19,0.31,0.36,1,-0.14,-8.48,0.01,10.7
2025-01-02,SPY250102P00588000,Buy,Day,2.15,2.71,2.04,2.37,1,0.56,5.21,0.04,5.4
2025-01-03,SPY250103P00587500,Buy,Day,0.74,0.69,0.7,0.81,1,-0.05,-1.35,0.01,14.2
2025-01-03,SPY250103P00589000,Buy,Day,1.52,1.14,1.44,1.67,1,-0.38,-5.0,0.03,16.2
2025-01-06,SPY250106C00595000,Buy,Day,1.16,0.4,1.1,1.28,2,-1.52,-13.1,0.02,41.0
2025-01-08,SPY250108C00591000,Buy,Day,0.65,0.49,0.62,0.72,2,-0.32,-4.92,0.01,92.5
2025-01-13,SPY250113C00580000,Buy,Day,0.99,0.48,0.94,1.09,1,-0.51,-10.3,0.02,110.1
2025-01-14,SPY250114C00585000,Buy,Day,0.36,0.33,0.34,0.4,1,-0.03,-1.67,0.01,2.2
2025-01-17,SPY250117C00600000,Buy,Day,0.29,0.3,0.28,0.32,1,0.01,0.69,0.01,47.1
2025-01-21,SPY250121C00602000,Buy,Day,0.47,0.51,0.45,0.52,1,0.04,1.7,0.01,19.5
2024-07-12,TSLA240712P00250000,Buy,Day,4.0,3.25,3.8,4.4,1,-0.75,-3.75,0.08,4.2
2024-12-18,TSLA241220C00497500,Buy,Day,5.21,5.25,4.95,5.73,1,0.04,0.15,0.1,66.8
